Sup.FB.Assist,Sup.FB.Kill,SUP.Gold.Earned,sup_cs10,Adc.FB.Assist,Adc.FB.Kill,Adc_Gold_Earned,adc_cs10,Did_Win
FALSE,FALSE,8966,2,FALSE,FALSE,14557,74,TRUE
FALSE,FALSE,9346,5,FALSE,FALSE,10406,70,FALSE
TRUE,FALSE,9390,1,TRUE,FALSE,16633,84,TRUE
TRUE,FALSE,6597,16,TRUE,FALSE,13746,65,FALSE
FALSE,FALSE,5723,11,FALSE,FALSE,8160,52,FALSE
FALSE,FALSE,8846,8,FALSE,FALSE,17898,72,TRUE
FALSE,FALSE,6663,14,FALSE,FALSE,12835,85,FALSE
FALSE,FALSE,6467,0,FALSE,FALSE,7847,65,TRUE
FALSE,FALSE,13372,16,FALSE,FALSE,16444,55,TRUE
FALSE,FALSE,6442,14,FALSE,FALSE,10103,54,FALSE
